macAddr,vendor,SSID,Security,Privacy,Channel,Frequency,Signal Strength,Strongest Signal Strength,Bandwidth,Last Seen,First Seen,GPS Valid,Latitude,Longitude,Altitude,Speed,Strongest GPS Valid,Strongest Latitude,Strongest Longitude,Strongest Altitude,Strongest Speed,% Utilization,# of Stations
a8:5e:45:cb:5a:8c,,"Depo_1",PSK,CCMP,3,2422,-82,-82,20,03/09/2023 11:41:41,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,19.22,0
fe:a3:89:61:39:08,,"Galaxy M120B56",PSK,CCMP,6,2437,-85,-85,20,03/09/2023 11:39:46,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
be:09:27:ce:5c:37,,"ahsen \xc3\xb6zdemir",PSK 00-0f-ac:8,CCMP,6,2437,-88,-88,20,03/09/2023 11:39:33,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
40:d6:3c:05:a0:d6,,"Aromalink_A0D6",PSK,TKIP/CCMP,9,2452,-83,-83,20,03/09/2023 11:39:46,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
40:d6:3c:05:a1:01,,"Aromalink_A101",PSK,TKIP/CCMP,9,2452,-84,-84,20,03/09/2023 11:39:46,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
c0:f6:c2:ca:da:10,,"Kbb-WiLokal",PSK FT/PSK,CCMP,11,2462,-45,-45,40,03/09/2023 11:41:41,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
c0:f6:c2:ca:da:11,,"TestWiLokal",PSK FT/PSK,CCMP,11,2462,-47,-67,40,03/09/2023 11:41:41,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
c0:f6:c2:ca:da:12,,"BuyuksehirInternet",Open,None,11,2462,-47,-67,40,03/09/2023 11:41:41,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
d4:d5:1b:de:42:c1,,"TestWiLokal",PSK FT/PSK,CCMP,100,5500,-83,-81,80,03/09/2023 11:41:41,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
d4:d5:1b:de:42:c0,,"Kbb-WiLokal",PSK FT/PSK,CCMP,100,5500,-84,-81,80,03/09/2023 11:41:41,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
d4:d5:1b:de:42:c2,,"BuyuksehirInternet",Open,None,100,5500,-83,-81,80,03/09/2023 11:41:41,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
04:e7:95:2d:1c:91,,"TestWiLokal",PSK FT/PSK,CCMP,116,5580,-91,-91,80,03/09/2023 11:41:41,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
04:e7:95:2d:1c:90,,"Kbb-WiLokal",PSK FT/PSK,CCMP,116,5580,-93,-93,80,03/09/2023 11:41:41,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
04:e7:95:2d:1c:92,,"BuyuksehirInternet",Open,None,116,5580,-92,-92,80,03/09/2023 11:41:41,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
c0:f6:c2:ca:da:20,,"Kbb-WiLokal",PSK FT/PSK,CCMP,116,5580,-46,-46,80,03/09/2023 11:41:41,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
c0:f6:c2:ca:da:21,,"TestWiLokal",PSK FT/PSK,CCMP,116,5580,-46,-46,80,03/09/2023 11:41:41,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
c0:f6:c2:ca:da:22,,"BuyuksehirInternet",Open,None,116,5580,-46,-46,80,03/09/2023 11:41:41,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
28:6c:07:41:db:b8,,"KbmGoFis",Open,None,157,5785,-78,-78,80,03/09/2023 11:41:41,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,27.45,2
c0:f6:c2:de:ee:11,,"TestWiLokal",PSK FT/PSK,CCMP,116,5580,-86,-86,80,03/09/2023 11:41:41,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
c0:f6:c2:de:ee:12,,"BuyuksehirInternet",Open,None,116,5580,-84,-84,80,03/09/2023 11:41:41,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
40:d6:3c:05:a2:6a,,"Aromalink_A26A",PSK,TKIP/CCMP,9,2452,-75,-75,20,03/09/2023 11:39:22,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
d4:d5:1b:de:42:b1,,"TestWiLokal",PSK FT/PSK,CCMP,1,2412,-79,-79,40,03/09/2023 11:41:41,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
74:ee:2a:dd:60:8f,,"5.kiosk30001157",PSK,CCMP,6,2437,-89,-89,20,03/09/2023 11:39:38,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
26:1b:97:a5:c5:b5,,"Redmi Note 9",PSK,CCMP,11,2462,-84,-84,40,03/09/2023 11:41:41,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
c0:f6:c2:de:ee:10,,"Kbb-WiLokal",PSK FT/PSK,CCMP,116,5580,-85,-85,80,03/09/2023 11:41:41,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
04:e7:95:2d:1c:81,,"TestWiLokal",PSK FT/PSK,CCMP,1,2412,-80,-80,40,03/09/2023 11:41:41,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
02:2a:89:e9:b6:e0,,"P13_Blue",PSK,CCMP,2,2417,-85,-85,20,03/09/2023 11:39:59,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
2e:f7:a8:10:a4:88,,"Galaxy A10D45F",PSK,CCMP,1,2412,-78,-78,20,03/09/2023 11:40:58,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
a0:63:91:9d:01:f2,,"ATA-BRUNS",PSK,CCMP/TKIP,11,2462,-90,-90,20,03/09/2023 11:41:41,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
d4:d5:1b:de:46:31,,"TestWiLokal",PSK FT/PSK,CCMP,11,2462,-89,-89,40,03/09/2023 11:41:10,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
90:9a:4a:c8:36:64,,"BuyuksehirInternet_EXT",Open,None,1,2412,-73,-73,20,03/09/2023 11:41:41,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,74.9,0
04:e7:95:2d:1a:82,,"BuyuksehirInternet",Open,None,6,2437,-83,-83,40,03/09/2023 11:41:41,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
20:32:33:8a:09:44,,"10.kiosk30001167",PSK,CCMP,6,2437,-87,-87,20,03/09/2023 11:39:38,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
d4:d5:1b:de:42:b0,,"Kbb-WiLokal",PSK FT/PSK,CCMP,1,2412,-78,-78,40,03/09/2023 11:41:41,03/09/2023 11:39:25,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
c0:f6:c2:de:ee:01,,"TestWiLokal",PSK FT/PSK,CCMP,1,2412,-83,-83,40,03/09/2023 11:41:41,03/09/2023 11:39:25,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
d4:d5:1b:de:42:b2,,"BuyuksehirInternet",Open,None,1,2412,-80,-80,40,03/09/2023 11:41:41,03/09/2023 11:39:28,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
04:e7:95:2d:1c:80,,"Kbb-WiLokal",PSK FT/PSK,CCMP,1,2412,-71,-71,40,03/09/2023 11:41:41,03/09/2023 11:39:33,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
04:e7:95:2d:1c:82,,"BuyuksehirInternet",Open,None,1,2412,-73,-73,40,03/09/2023 11:41:41,03/09/2023 11:39:33,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
c0:f6:c2:de:ee:00,,"Kbb-WiLokal",PSK FT/PSK,CCMP,1,2412,-77,-77,40,03/09/2023 11:41:41,03/09/2023 11:39:33,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
c0:f6:c2:de:ee:02,,"BuyuksehirInternet",Open,None,1,2412,-85,-85,40,03/09/2023 11:41:41,03/09/2023 11:39:33,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
b8:e3:b1:27:3c:c2,,"BuyuksehirInternet",Open,None,1,2412,-85,-85,40,03/09/2023 11:40:02,03/09/2023 11:39:38,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
04:e7:95:2d:1a:90,,"Kbb-WiLokal",PSK FT/PSK,CCMP,100,5500,-90,-90,80,03/09/2023 11:40:05,03/09/2023 11:39:38,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
04:e7:95:2d:1a:91,,"TestWiLokal",PSK FT/PSK,CCMP,100,5500,-92,-92,80,03/09/2023 11:40:05,03/09/2023 11:39:38,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
04:e7:95:2d:1a:92,,"BuyuksehirInternet",Open,None,100,5500,-93,-93,80,03/09/2023 11:41:36,03/09/2023 11:39:38,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
2e:8f:c1:9e:b7:15,,"Redmi Note 10S",PSK,CCMP,149,5745,-95,-95,80,03/09/2023 11:41:28,03/09/2023 11:39:44,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
d4:d5:1b:de:46:32,,"BuyuksehirInternet",Open,None,11,2462,-88,-88,40,03/09/2023 11:41:34,03/09/2023 11:40:42,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
b8:e3:b1:27:3f:61,,"TestWiLokal",PSK FT/PSK,CCMP,11,2462,-86,-86,40,03/09/2023 11:41:13,03/09/2023 11:40:44,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
96:b1:c3:4f:6c:60,,"Dilber",PSK,CCMP,1,2412,-80,-79,40,03/09/2023 11:41:41,03/09/2023 11:40:58,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
d4:d5:1b:de:46:30,,"Kbb-WiLokal",PSK FT/PSK,CCMP,11,2462,-87,-87,40,03/09/2023 11:41:34,03/09/2023 11:41:05,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
04:e7:95:2d:1a:80,,"Kbb-WiLokal",PSK FT/PSK,CCMP,6,2437,-83,-83,40,03/09/2023 11:41:41,03/09/2023 11:41:13,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
b8:e3:b1:27:3c:c1,,"TestWiLokal",PSK FT/PSK,CCMP,1,2412,-87,-87,40,03/09/2023 11:41:41,03/09/2023 11:41:21,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
b8:e3:b1:27:3c:c0,,"Kbb-WiLokal",PSK FT/PSK,CCMP,1,2412,-82,-82,40,03/09/2023 11:41:41,03/09/2023 11:41:28,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,-1.0,-1
28:6c:07:41:db:b7,,"KbmGoFis",Open,None,11,2462,-69,-69,20,03/09/2023 11:41:41,03/09/2023 11:39:22,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,32.94,6
